strata,patch,time,R_eff
1,1,1,3.3333018169093998
2,1,1,5.253289617887926
3,1,1,2.606876501110844
1,2,1,3.3333572716364936
2,2,1,5.253253357894006
3,2,1,2.6069082981639826
1,3,1,3.3333461769963106
2,3,1,5.253264229434036
3,3,1,2.606887383153003
1,4,1,3.333363909005688
2,4,1,5.253261946517525
3,4,1,2.6069133483361684
1,5,1,3.333307108639647
2,5,1,5.253226781890388
3,5,1,2.6068778708442326
1,1,2,3.3332607954196862
2,1,2,5.253241356728494
3,1,2,2.606850838499033
1,2,2,3.33332656820317
2,2,2,5.253199068925932
3,2,2,2.606887232218348
1,3,2,3.333313556301121
2,3,2,5.253211624468324
3,3,2,2.606864933790169
1,4,2,3.333335053258196
2,4,2,5.253209361046154
3,4,2,2.6068935581422656
1,5,2,3.333266963767403
2,5,2,5.253168883505699
3,5,2,2.6068521890644782
1,1,3,3.33320902387565
2,1,3,5.253179247490515
3,1,3,2.6068185222680205
1,2,3,3.333286461961105
2,2,3,5.253130115198784
3,2,3,2.606859970714198
1,3,3,3.3332713370910385
2,3,3,5.2531445640523
3,3,3,2.606836291414295
1,4,3,3.333297215987559
2,4,3,5.2531423783567615
3,4,3,2.606867820687594
1,5,3,3.3332161558965976
2,5,3,5.253095933537658
3,5,3,2.606819823554616
1,1,4,3.33314345246631
2,1,4,5.253099226632744
3,1,4,2.6067776483072276
1,2,4,3.3332341520685502
2,2,4,5.253042267696652
3,2,4,2.606824700424526
1,3,4,3.3332166947269415
2,3,4,5.253058862353287
3,3,4,2.606799647631371
1,4,4,3.3332476898760035
2,4,4,5.253056824732179
3,4,4,2.6068343740267883
1,5,4,3.3331516490592703
2,5,4,5.253003625586878
3,5,4,2.6067788640110368
1,1,5,3.333060311247966
2,1,5,5.252996211460679
3,1,5,2.6067258559846964
1,2,5,3.3331661154367804
2,2,5,5.252930267252868
3,2,5,2.6067791529622317
1,3,5,3.333146081971312
2,3,5,5.252949304567732
3,3,5,2.6067527298200455
1,4,5,3.33318305673203
2,4,5,5.252947500513355
3,4,5,2.60679100644546
1,5,5,3.333069686002344
2,5,5,5.252886621751011
3,5,5,2.606726943709068
1,1,6,3.3329548626472327
2,1,6,5.252863763233476
3,1,6,2.6066601762504757
1,2,6,3.333077873846455
2,2,6,5.252787483022597
3,2,6,2.606720454776774
1,3,6,3.333054997665424
2,3,6,5.2528093071729955
3,3,6,2.606692658272745
1,4,6,3.3330989582789874
2,4,6,5.252807840444932
3,4,6,2.6067349081367883
1,5,6,3.332965541612637
2,5,6,5.252738208536043
3,5,6,2.606661086943682
1,1,7,3.3328211049312717
2,1,7,5.252693675518609
3,1,7,2.6065768448530147
1,2,7,3.3329637090963122
2,2,7,5.252605493673504
3,2,7,2.6066449439317094
1,3,7,3.3329377016027206
2,3,7,5.252630501083013
3,3,7,2.606615765880126
1,4,7,3.33298981590371
2,4,7,5.252629497486522
3,4,7,2.6066624904914293
1,5,7,3.332833226960376
2,5,7,5.252549874977851
3,5,7,2.6065775216901588
1,1,8,3.3326514168108448
2,1,8,5.252475474450614
3,1,8,2.6064710767427144
1,2,8,3.3328163157583357
2,2,8,5.252373580771851
3,2,8,2.60654794781487
1,3,8,3.3327868669233394
2,3,8,5.252402226723949
3,3,8,2.6065173768396552
1,4,8,3.33284848790635
2,4,8,5.252401838699901
3,4,8,2.6065691662982777
1,5,8,3.332665134177095
2,5,8,5.252310803394717
3,5,8,2.6064714535881057
1,1,9,3.3231957904546885
2,1,9,5.24626574940454
3,1,9,2.6041294223298337
1,2,9,3.323382460659946
2,2,9,5.246149643564167
3,2,9,2.604215626486797
1,3,9,3.3233497097657287
2,3,9,5.24618218998548
3,3,9,2.604183749409626
1,4,9,3.3234206244746884
2,4,9,5.246182657954341
3,4,9,2.604240952315728
1,5,9,3.3232108574750203
2,5,9,5.24607899495138
3,5,9,2.6041292891435224
1,1,10,3.30973740151624
2,1,10,5.236464608263777
3,1,10,2.5998617578659546
1,2,10,3.3099473498556278
2,2,10,5.236332722849423
3,2,10,2.599958091985593
1,3,10,3.309910976509051
2,3,10,5.236369419806142
3,3,10,2.59992483091842
1,4,10,3.309991694537705
2,4,10,5.236370742006505
3,4,10,2.5999878170023862
1,5,10,3.3097545746204267
2,5,10,5.236253805417562
3,5,10,2.5998613860351387
1,1,11,3.293406801071437
2,1,11,5.223437544213586
3,1,11,2.5941911187765685
1,2,11,3.293642045056364
2,2,11,5.223288171972796
3,2,11,2.5942985396009615
1,3,11,3.2936018316888083
2,3,11,5.223329445295666
3,3,11,2.5942638983169806
1,4,11,3.293693364187548
2,4,11,5.223331808720208
3,4,11,2.594333260113565
1,5,11,3.293426273636172
2,5,11,5.223200169812698
3,5,11,2.5941904829833775
1,1,12,3.27359162415321
2,1,12,5.206144183711049
3,1,12,2.5866649607667394
1,2,12,3.2738541931960317
2,2,12,5.205975581732612
3,2,12,2.5867844520418086
1,3,12,3.2738099366652484
2,3,12,5.206021863424907
3,3,12,2.586748443046801
1,4,12,3.273913323875334
2,4,12,5.2060254771677315
3,4,12,2.5868247983666404
1,5,12,3.2736136027694163
2,5,12,5.205877655431346
3,5,12,2.586664045221793
1,1,13,3.2495492076213233
2,1,13,5.183221710893955
3,1,13,2.5766902984915143
1,2,13,3.249841088335722
2,2,13,5.183032166587647
3,2,13,2.5768228428609907
1,3,13,3.2497926078756594
2,3,13,5.183083877669617
3,3,13,2.5767854906598546
1,4,13,3.2499088943125436
2,4,13,5.183088971122369
3,4,13,2.576869462503961
1,5,13,3.2495739126757246
2,5,13,5.182923478727891
3,5,13,2.57668910340244
1,1,14,3.2203788582054584
2,1,14,5.152892840353914
3,1,14,2.563493459385069
1,2,14,3.2207019215604498
2,2,14,5.152680768211626
3,2,14,2.5636399977812823
1,3,14,3.2206490686712517
2,3,14,5.152738293981384
3,3,14,2.5636013426693047
1,4,14,3.220779268793457
2,4,14,5.152745113062898
3,4,14,2.5636935294782606
1,5,14,3.220406524232835
2,5,14,5.152560520044537
3,5,14,2.5634920098269633
1,1,15,3.1849882427132785
2,1,15,5.11285255067453
3,1,15,2.546070436559133
1,2,15,3.1853441476512363
2,2,15,5.1126166291177615
3,2,15,2.5462318111847457
1,3,15,3.1852868183895917
2,3,15,5.112680284529751
3,3,15,2.5461919136482885
1,4,15,3.185431869693704
2,4,15,5.112689085052454
3,4,15,2.546292846686234
1,5,15,3.1850191184397376
2,5,15,5.112484112025739
3,5,15,2.5460687944922666
1,1,16,3.142052658067338
2,1,16,5.060132103204025
3,1,16,2.523127092777819
1,2,16,3.1424427251968132
2,2,16,5.059871462528807
3,2,16,2.523303969155086
1,3,16,3.142380875348295
2,3,16,5.059941444957921
3,3,16,2.523262914893159
1,4,16,3.1425415751767134
2,4,16,5.059952482014533
3,4,16,2.523372998979037
1,5,16,3.142087006096421
2,5,16,5.059726128514856
3,5,16,2.523125373137172
1,1,17,3.0899656732635328
2,1,17,4.99094164623153
3,1,17,2.493009607545481
1,2,17,3.0903907208794763
2,2,17,4.990656119920507
3,2,17,2.4932023706195814
1,3,17,3.0903243845593504
2,3,17,4.990732446252454
3,3,17,2.493160276111013
1,4,17,3.0905013060503075
2,4,17,4.990745958265179
